Район;Сокращенное наименование;Наименование;Руководитель;Адрес местонахождения;Телефон;Режим работы;ИНН;ОГРН;Количество мест;Электронный адрес;Сайт;Наличие филиала;Наличие ЕМТС;Факс;Юридический адрес;Источник данных;Подведомственно;Метро;Прочее;МО
"Колпинский";"Центральная библиотека им. М.Светлова";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Колпинского административного района Санкт-Петербурга". Центральная районная библиотека им. М.Светлова";"Калинкина Мария Викторовна";"196653, Санкт-Петербург, город Колпино, улица Веры Слуцкой, дом 32, литер А";"469-50-90, 469-52-20, 481-41-60";"12.00-19.00. вс: абонемент выходной, читальный зал 10.00-17.00, последняя пт месяца - санитарный день";"7817016593";"1027808760660";"170";"";"";"Основное, есть филиал";"";"";"196653, Санкт-Петербург, город Колпино, улица Веры Слуцкой, дом 32, литер А";"";"Комитет по культуре";"";"";"город Колпино"
"Колпинский";"Детская библиотека Колпинского района";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Колпинского административного района Санкт-Петербурга", детская";"Калинкина Мария Викторовна";"189630, Санкт-Петербург, город Колпино, улица Веры Слуцкой, дом 50, литер А";"481-41-60, 481-42-74";"";"7817016593";"1027808760660";"";"";"";"Филиал";"";"";"196653, Санкт-Петербург, город Колпино, улица Веры Слуцкой, дом 32, литер А";"";"Централизованная библиотечная система Колпинского административного района";"";"";"город Колпино"
"Колпинский";"Библиотека Колпинского района, филиал № 1";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Колпинского административного района Санкт-Петербурга", филиал № 1";"Калинкина Мария Викторовна";"189630, Санкт-Петербург, город Колпино, набережная Комсомольского канала, дом 18, литер А";"461-52-11";"13.00 - 20.00, сб 11.00 - 18.00, выходные - пн, вс, последний день месяца - санитарный";"7817016593";"1027808760660";"";"";"";"Филиал";"";"461-62-75";"196653, Санкт-Петербург, город Колпино, улица Веры Слуцкой, дом 32, литер А";"";"Централизованная библиотечная система Колпинского административного района";"";"";"город Колпино"
"Колпинский";"Библиотека Колпинского района, филиал № 4";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Колпинского административного района Санкт-Петербурга", филиал № 4";"Калинкина Мария Викторовна";"196643, Санкт-Петербург, поселок Понтонный, Южная улица, дом 13, литер А";"462-57-25";"12.00 - 19.00, выходные - чт, пн, вс, последний день месяца - санитарный";"7817016593";"1027808760660";"";"";"";"Филиал";"Проект 2008";"";"196653, Санкт-Петербург, город Колпино, улица Веры Слуцкой, дом 32, литер А";"";"Централизованная библиотечная система Колпинского административного района";"";"";"поселок Понтонный"
"Кировский";"Центральная районная библиотека";"Санкт-Петербургское Государственное Учреждение "Централизованная библиотечная система Кировского района".  Центральная районная библиотека";"Степанов Петр Иванович";"г.Санкт-Петербург, улица Лени Голикова, дом 31, литер А";"752-18-49";"12.00-19.00, кроме сб, вс";"7805041690";"1037811014922";"100";"";"";"Основное, есть филиал";"";"";"г.Санкт-Петербург, улица Лени Голикова, дом 31, литер А";"";"";"";"";"муниципальный округ №27"
"Кировский";"Центральная  детская библиотека";"Санкт-Петербургское Государственное Учреждение "Централизованная библиотечная система Кировского района". Центральная  детская библиотека";"Степанов Петр Иванович";"г.Санкт-Петербург, проспект Ветеранов, дом 76, литер А";"753-24-29";"";"7805041690";"1037811014922";"100";"";"";"Основное, есть филиал";"";"";"г.Санкт-Петербург, улица Лени Голикова, дом 31, литер А";"";"";"";"";"муниципальный округ №26"
"Василеостровский";"Детская библиотека  филиал №7";"Детская библиотека, филиал №7. Централизованная библиотечная система Василеостровского района";"Семевская Галина Дмитриевна (Ольга Николаевна Самусевич )";"199151, г.Санкт-Петербург, Гаванская улица, дом 47, литер В";"355-80-09";"11.00 - 18.00. Выходной день – Воскресенье, Понедельник";"7801031500";"1037800059560";"";"";"";"Филиал";"";"";"199155, г.Санкт-Петербург, Морская набережная, дом 17, литер Д";"";"Централизованная библиотечная система Василеостровского района";"Приморская";"";"муниципальный округ №9"
"Василеостровский";"Центральная районная детская библиотека";"Центральная районная детская библиотека. Централизованная библиотечная система Василеостровского района";"(Тамара Алексеевна Тимошина)";"199178, г.Санкт-Петербург, 13-я линия В.О., дом 20, литер А";"323-74-35, 321-92-24, 323-73-58, 321-92-24";"Понедельник - Пятница 11.00 - 18.00.  Выходные дни - Суббота, Воскресенье";"7801031500";"1037800059560";"";"";"";"Филиал";"";"";"199155, г.Санкт-Петербург, Морская набережная, дом 17, литер Д";"";"Централизованная библиотечная система Василеостровского района";"Василеостровская";"";"муниципальный округ №7"
"Василеостровский";"Библиотека РАН";"Учреждение Российской Академии Наук Библиотека РАН";"Леонов Валерий Павлович";"199034, г.Санкт-Петербург, Биржевая линия, дом 1/1, литер А";"328-35-92";"9:00-20:00 (понедельник-пятница), 10:00-18:00 (суббота-воскресенье)";"7801047395";"1027800550458";"";"ban@info.rasl.spb.ru";"http://www.rasl.ru/";"Основное и единственное";"";"";"";"";"";"Василеостровская, Петроградская, Спортивная";"";"муниципальный округ №7"
"Адмиралтейский";"Центральная детская библиотека им. А. С. Пушкина";"Cанкт-Петербургское государственное учреждение культуры "Центральная городская детская библиотека им. А. С. Пушкина"";"Секретарёва Людмила Григорьевна";"190000, г.Санкт-Петербург, Большая Морская улица, дом 33, литера А, помещение №1Н,2Н,3Н,8Н,Л-5,Л-6";"3144621";"";"7826740876";"1037851029281";"";"ccl@pushkinlib.spb.ru";"http://www.pushkinlib.spb.ru";"Основное, есть филиал";"";"3250062";"190000, г.Санкт-Петербург, Большая Морская улица, дом 33, литера А";"ГИС СЦ";"Комитет по культуре";"Невский проспект";"";"муниципальное образование Адмиралтейский округ"
"Василеостровский";"Библиотека им.Л.Н.Толстого, филиал  №2";"Библиотека им.Л.Н.Толстого, филиал  №2. Централизованная библиотечная система Василеостровского района";"Семевская Галина Дмитриевна (Лариса Алексеевна Шевченко)";"г.Санкт-Петербург, 6-я линия В.О., дом 17, литер А";"323-67-87";"13.00 - 20.00, вс 11.00 - 18.00. Выходные дни - Пятница, Суббота";"7801031500";"1037800059560";"";"";"";"Филиал";"Проект 2008";"";"199155, г.Санкт-Петербург, Морская набережная, дом 17, литер Д";"";"Централизованная библиотечная система Василеостровского района";"Василеостровская";"";"муниципальный округ №7"
"Калининский";"Библиотека Калининского района, филиал №7";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Калининского района", филиал №7";"Крылова Светлана Ильинична";"195220, г.Санкт-Петербург, проспект Непокоренных, дом 16, корпус 1, литер В";"534-00-48";"13.00-20.00, сб 11.00-18.00, вс - выходной, последний день месяца - санитарный";"7804030181";"1027802518358";"";"";"";"Филиал";"";"";"г.Санкт-Петербург, Гражданский проспект, дом 83, корпус 1, литер А";"";"Централизованная библиотечная система Калининского района";"";"";"муниципальное образование Гражданка"
"Калининский";"Детская библиотека Калининского района, филиал №13";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Калининского района", филиал №13";"Крылова Светлана Ильинична";"195273, г.Санкт-Петербург, проспект Непокоренных, дом 74, литер А";"535-70-42";"";"7804030181";"1027802518358";"50";"";"";"Филиал";"";"";"г.Санкт-Петербург, Гражданский проспект, дом 83, корпус 1, литер А";"";"Централизованная библиотечная система Калининского района";"Площадь мужества";"";"муниципальное образование Пискарёвка"
"Красногвардейский";"Библиотека «Современник»";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Красногвардейского района". Библиотека «Современник»";"Пепина Елена Игоревна";"г.Санкт-Петербург, Заневский проспект, дом 28-30-32, литер А, пом. 10Н, (Заневский, дом 32)";"528 46 93";"понедельник - пятница: с 13.00 до 20.00, суббота: с 11.00 до 18.00, воскресенье - выходной день";"7806115232";"1027804196694";"60";"sovrem2008@yandex.ru";"http://www.kr-cbs.ru/libraries";"Филиал";"Есть";"528 46 93";"195027, г.Санкт-Петербург, Среднеохтинский проспект, дом 8, литер А";"";"Централизованная библиотечная система Красногвардейского района";"Новочеркасская, Ладожская";"";"муниципальный округ №34 (Малая Охта)"
"Приморский";"Библиотека Приморского района, филиал №3";"Централизованная библиотечная система Приморского района Санкт-Петербуга, филиал №3";"Лебедева Валентина Евгеньевна";"197342, г.Санкт-Петербург, Ланское шоссе, дом 24, корпус 5, литер А";"492-81-48";"14.00-20.00, вс - выходные, последний день месяца - санитарный";"7814335640";"1067847150777";"";"fil3_cbs@mail.ru";"";"Филиал";"Проект 2008";"";"197348, г.Санкт-Петербург, Богатырский проспект, дом 9, литер А";"";"Централизованная библиотечная система Приморского района";"";"";"муниципальный округ Черная речка"
"Центральный";"Центральная библиотека имени М.Ю. Лермонтова";"Санкт-Петербургское Государственное учреждение культуры "Межрайонная централизованная библиотечная система им. М.Ю. Лермонтова"";"Серейчик Сергей Станиславович";"191028, г.Санкт-Петербург, Литейный проспект, дом 17-19, корпус , литера А, помещение №8Н, 1 Н, 2 Н";"272-3660";"12.00 - 19.00, сб 11.00 - 17.00, выходной - воскресенье";"7825132699";"1037843110832";"";"infomarket@lplib.ru";"http://www.lplib.ru/about/putevod/centr/";"Основное, есть филиал";"";"273-5604";"191028, г.Санкт-Петербург, Литейный проспект, дом 17-19";"ГИС СЦ";"Комитет по культуре";"";"";"муниципальное образование Литейный округ"
"Выборгский";"Библиотека Выборгского района, филиал №2";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Выборгского района", филиал №2";"Ивляева Галина Сергеевна";"194100, г.Санкт-Петербург, улица Харченко, дом 17, литер А";"245-51-21";"С 13-20, суббота 11-18, воскресенье – выходной";"7802207443";"1037804023278";"";"";"http://www.cbs-vib.ru/libraries/";"Филиал";"";"";"194156, г.Санкт-Петербург, проспект Энгельса, дом 13/2, литер Л";"";"Централизованная библиотечная система Выборгского района";"Лесная";"";"муниципальное образование Сампсониевское"
"Центральный";"Российская Национальная библиотека";"Российская Национальная библиотека";"Зайцев Владимир Николаевич";"191011, г.Санкт-Петербург, площадь Островского, дом 1-3, литер А (Садовая улица, дом 18)";"310-71-37";"";"7808036089";"1027809256672";"";"office@nlr.ru, excibition@nlr.";"www.nlr.ru";"Основное, есть филиал";"";"";"Санкт-Петербург, Садовая ул, д. 18";"";"";"Российская Национальная библиотека-филиал";"";"муниципальный округ №78"
"Невский";"Центральная детская библиотека Невского района";"Санкт-Петербургское государственное учреждение культуры "Невская централизованная библиотечная система". Центральная детская библиотека";"Огнева Лилия Михайловна";"193231, г.Санкт-Петербург, проспект Большевиков, дом 2, литер А";"587-00-04";"";"7811005690";"1027806077617";"80";"";"";"Филиал";"";"";"193174, г.Санкт-Петербург, улица Бабушкина, дом 64, литер А";"";"Невская централизованная библиотечная система";"";"";"муниципальное образование Оккервиль"
"Невский";"Детская библиотека Невского района, филиал №10";"Санкт-Петербургское государственное учреждение культуры "Невская централизованная библиотечная система". Детская библиотека, филиал №10";"Огнева Лилия Михайловна";"193079, г.Санкт-Петербург, Октябрьская набережная, дом 70, корпус 1, литер А";"446-91-88";"";"7811005690";"1027806077617";"";"";"";"Филиал";"Есть";"";"193174, г.Санкт-Петербург, улица Бабушкина, дом 64, литер А";"";"Невская централизованная библиотечная система";"";"";"муниципальный округ Народный"
"Невский";"Детская библиотека Невского района, филиал №12";"Санкт-Петербургское государственное учреждение культуры "Невская централизованная библиотечная система". Детская библиотека, филиал №12";"Огнева Лилия Михайловна";"193079, г.Санкт-Петербург, Октябрьская набережная, дом 100, корпус 1, литер А";"446-18-78";"10.00-18.00, ср и вс выходной, первая пт месяца - санитарный день";"7811005690";"1027806077617";"";"";"";"Филиал";"";"";"193174, г.Санкт-Петербург, улица Бабушкина, дом 64, литер А";"";"Невская централизованная библиотечная система";"";"";"муниципальный округ Народный"
"Невский";"Библиотека Невского района, филиал №7";"Санкт-Петербургское государственное учреждение культуры "Невская централизованная библиотечная система", филиал №7. Отдел литературы на иностранных языках";"Огнева Лилия Михайловна";"193231, г.Санкт-Петербург, проспект Большевиков, дом 8, корпус 1, литер А";"589-26-08";"11 до 18, пн и чт 12 до 20, вс - выходной, последняя пт месяца - санитарный день. Летом кроме сб, вс";"7811005690";"1027806077617";"";"";"";"Филиал";"";"";"193174, г.Санкт-Петербург, улица Бабушкина, дом 64, литер А";"";"Невская централизованная библиотечная система";"";"";"муниципальное образование Оккервиль"
"Невский";"Библиотека "Рыбацкая", филиал №6";"Санкт-Петербургское государственное учреждение культуры "Невская централизованная библиотечная система". Библиотека "Рыбацкая", филиал №6";"Огнева Лилия Михайловна";"193076, г.Санкт-Петербург, улица Дмитрия Устинова, дом 3, литер А";"700-44-69, 700-44-70, 707-29-24, 707-29-26";"12.00-19.00, выходной вс, летом сб и вс, последний день месяца - санитарный";"7811005690";"1027806077617";"";"";"";"Филиал";"";"";"193174, г.Санкт-Петербург, улица Бабушкина, дом 64, литер А";"";"Невская централизованная библиотечная система";"";"";"муниципальный округ №52"
"Невский";"Библиотека Невского района, филиал №4";"Санкт-Петербургское государственное учреждение культуры "Невская централизованная библиотечная система", филиал №4";"Огнева Лилия Михайловна";"193012, г.Санкт-Петербург, улица Бабушкина, дом 135, литер Р";"262-44-97";"12.00-19.00, сб и вс - выходной, последний чт месяца - санитарный, летом сб, вс - выходные";"7811005690";"1027806077617";"";"";"";"Филиал";"";"";"193174, г.Санкт-Петербург, улица Бабушкина, дом 64, литер А";"";"Невская централизованная библиотечная система";"";"";"муниципальный образование Обуховский"
"Калининский";"Библиотека Калининского района, филиал №2";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Калининского района", филиал №2";"Крылова Светлана Ильинична";"195197, г.Санкт-Петербург, Кондратьевский проспект, дом 51, корпус 1, литер А";"540-29-69";"13.00-20.00, сб 11.00-18.00, вс - выходной, последний день месяца - выходной";"7804030181";"1027802518358";"";"";"";"Филиал";"";"";"г.Санкт-Петербург, Гражданский проспект, дом 83, корпус 1, литер А";"";"Централизованная библиотечная система Калининского района";"";"";"муниципальный округ №20"
"Калининский";"Детская библиотека Калининского района, филиал №8";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Калининского района", филиал №8";"Крылова Светлана Ильинична";"195197, г.Санкт-Петербург, улица Васенко, дом 6/10, литер А";"540-60-41";"";"7804030181";"1027802518358";"";"";"";"Филиал";"";"";"г.Санкт-Петербург, Гражданский проспект, дом 83, корпус 1, литер А";"";"Централизованная библиотечная система Калининского района";"Выборгская, Площадь Ленина";"";"муниципальный округ №20"
"Красногвардейский";"Детская библиотека №4";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Красногвардейского района". Детская библиотека. Детская библиотека №4";"Белогуб Светлана Григорьевна";"195027, г.Санкт-Петербург, Большая Пороховская улица, дом 12/34, литер А";"227-24-43";"понедельник – пятница: с 12.00 до 19.00, суббота: с 11.00 до 18.00, воскресенье - выходной день";"7806115232";"1027804196694";"";"kinder4@mail.ru";"http://www.kr-cbs.ru/libraries/";"Филиал";"Есть";"";"195027, г.Санкт-Петербург, Среднеохтинский проспект, дом 8, литер А";"";"Централизованная библиотечная система Красногвардейского района";"";"";"муниципальный округ Большая Охта"
"Красногвардейский";"Пискаревский библиотечно-культурный центр";"Санкт-Петербургское государственное учрездение культуры "Централизованная библиотечная система Красногвардейского района". Пискаревский библиотечно-культурный центр";"Школьникова Елена Михайловна";"195067, г.Санкт-Петербург, улица Маршала Тухачевского, дом 31, литер А";"225-62-72, 226-87-80, 226-41-37";"12.00-19.00, сб 11.00-18.00, вс выходной, летом сб - выходной, последний чт месяца - санитарный день";"7806115232";"1027804196694";"";"bkcpisk@rambler.ru";"http://www.kr-cbs.ru/libraries";"Филиал";"Есть";"226-87-80";"195027, г.Санкт-Петербург, Среднеохтинский проспект, дом 8, литер А";"";"Централизованная библиотечная система Красногвардейского района";"";"";"муниципальный округ №32 (Полюстрово)"
"Калининский";"Библиотека Калининского района, филиал №3";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Калининского района", филиал №3";"Крылова Светлана Ильинична";"195271, г.Санкт-Петербург, Кондратьевский проспект, дом 83, корпус 1, литер А";"543-39-86, 543-26-17";"13.00-20.00, сб 11.00-18.00, вс - выходной, последнее число месяца - санитарный день";"7804030181";"1027802518358";"50";"";"";"Филиал";"";"";"г.Санкт-Петербург, Гражданский проспект, дом 83, корпус 1, литер А";"";"Централизованная библиотечная система Калининского района";"";"";"муниципальный округ №20"
"Калининский";"Детская библиотека Калининского района, филиал №10";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Калининского района", филиал №10";"Крылова Светлана Ильинична";"195221, г.Санкт-Петербург, Пискаревский проспект, дом 16, литер А";"540-13-76";"";"7804030181";"1027802518358";"50";"";"";"Филиал";"";"";"г.Санкт-Петербург, Гражданский проспект, дом 83, корпус 1, литер А";"";"Централизованная библиотечная система Калининского района";"";"";"муниципальный округ №20"
"Московский";"Библиотека "Орбита", филиал №8";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Московского административного района". Библиотека "Орбита", филиал №8";"";"г.Санкт-Петербург, Ленинский проспект, дом 161, литер А";"373-60-62";"";"7810219724";"1037821003967";"";"";"";"Филиал";"";"";"г.Санкт-Петербург, Варшавская улица, дом 37, корпус 1, литер А";"";"Централизованная библиотечная система Московского административного района";"Московская";"";"муниципальный округ Пулковский меридиан"
"Московский";"Библиотека Московского района, филиал №10";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Московского административного района", филиал №10";"";"196211, г.Санкт-Петербург, проспект Космонавтов, дом 28, корпус 1, литер А";"379-88-10";"";"7810219724";"1037821003967";"";"";"";"Филиал";"";"";"г.Санкт-Петербург, Варшавская улица, дом 37, корпус 1, литер А";"";"Централизованная библиотечная система Московского административного района";"Московская, Парк Победы";"";"муниципальное образование Гагаринское"
"Фрунзенский";"Центральная детская библиотека  им. И.А. Крылова";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Фрунзенского района". Центральная детская библиотека  им. И.А. Крылова";"Васильева   Маргарита  Михайловна";"192239, г.Санкт-Петербург, улица Димитрова, дом 12, корпус 1, литер А";"701-10-03, 772-82-30";"С 11-00 до 19-00, в  субботу с 11-00 до 18-00, выходной -Воскресенье";"7816010920";"1027807982773";"60";"";"";"Филиал";"";"772-82-30";"192071, г.Санкт-Петербург, улица Турку, дом 11, корпус 1, литер А";"";"Централизованная библиотечная система Фрунзенского района";"Купчино";"";"муниципальный округ Георгиевский"
"Фрунзенский";"Библиотека им. А.М. Горького, филиал №2";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Фрунзенского района". Библиотека им. А.М. Горького, филиал №2";"Конисова  Марина  Анатольевна";"192289, г.Санкт-Петербург, Малая Балканская улица, дом 58, литер А";"778-58-78";"11.00-19.00, сб 11.00-18.00, вс - выходной. летом сб, вс - выходные, последний день месяца - санитарный";"7816010920";"1027807982773";"100";"";"";"Филиал";"Проект 2008";"778-58-79";"192071, г.Санкт-Петербург, улица Турку, дом 11, корпус 1, литер А";"";"Централизованная библиотечная система Фрунзенского района";"";"";"муниципальный округ №75"
"Фрунзенский";"Библиотека им. А.А. Прокофьева, филиал №4";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Фрунзенского района". Библиотека им. А.А. Прокофьева, филиал №4";"Николаева  Галина  Михайловна";"192286, г.Санкт-Петербург, улица Димитрова, дом 9, корпус 1, литер А";"701-47-49";"13.00-21.00, сб выходной, вс 10.00-18.00";"7816010920";"1027807982773";"60";"";"";"Филиал";"";"701-47-49";"192071, г.Санкт-Петербург, улица Турку, дом 11, корпус 1, литер А";"";"Централизованная библиотечная система Фрунзенского района";"";"";""
"Фрунзенский";"Библиотека "Гармония", филиал №5";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Фрунзенского района". Библиотека "Гармония", филиал №5";"Новохатная  Наталья  Павловна";"192284, г.Санкт-Петербург, Бухарестская улица, дом 122, корпус 1, литер А";"706-87-14, 706-87-15";"12.00-20.00, сб 10.00-17.00, вс - выходной, последний день месяца - санитарный";"7816010920";"1027807982773";"150";"";"";"Филиал";"Проект 2008";"";"192071, г.Санкт-Петербург, улица Турку, дом 11, корпус 1, литер А";"";"Централизованная библиотечная система Фрунзенского района";"Купчино, Обухово";"";"муниципальный округ №75"
"Фрунзенский";"Детская библиотека "Славянка", филиал №7";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Фрунзенского района". Детская библиотека "Славянка", филиал №7";"Баранова  Анна  Николаевна";"192288, г.Санкт-Петербург, улица Ярослава Гашека, дом 26, корпус 1, литер А";"778-76-67, 778-76-45";"С 11-00 до 18-00, выходной  день -  воскресенье";"7816010920";"1027807982773";"80";"";"";"Филиал";"";"778-76-45";"192071, г.Санкт-Петербург, улица Турку, дом 11, корпус 1, литер А";"";"Централизованная библиотечная система Фрунзенского района";"Обухово";"";"муниципальный округ №75"
"Калининский";"Библиотека Калининского района, филиал №5";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Калининского района", филиал №5";"Крылова Светлана Ильинична";"195299, г.Санкт-Петербург, Гражданский проспект, дом 104, корпус 1, литер А";"559-83-54, 531-75-07";"13.00-20.00, сб 11.00-18.00, вс - выходной";"7804030181";"1027802518358";"50";"";"";"Филиал";"";"";"г.Санкт-Петербург, Гражданский проспект, дом 83, корпус 1, литер А";"";"Централизованная библиотечная система Калининского района";"";"";"муниципальный округ №21"
"Калининский";"Детская библиотек Калининского района, филиал №9";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Калининского района", филиал №9";"Крылова Светлана Ильинична";"195299, г.Санкт-Петербург, Гражданский проспект, дом 104, корпус 1, литер А";"531-77-49";"";"7804030181";"1027802518358";"50";"";"";"Филиал";"";"";"г.Санкт-Петербург, Гражданский проспект, дом 83, корпус 1, литер А";"";"Централизованная библиотечная система Калининского района";"Гражданский проспект";"";"муниципальный округ №21"
"Калининский";"Детская библиотека Калининского района";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Калининского района"";"Шилова Нина Валентиновна";"г.Санкт-Петербург, Гражданский проспект, дом 83, корпус 1, литер А";"533-35-78, 533-35-47";"13.00-20.00, вс 11.00-18.00, сб - выходной , последний день месяца - санитарный";"7804030181";"1027802518358";"";"cbs-kalin@wocomnet.com";"";"Основное, есть филиал";"";"";"г.Санкт-Петербург, Гражданский проспект, дом 83, корпус 1, литер А";"";"Централизованная библиотечная система Калининского района";"";"";"муниципальное образование округ Академический"
"Калининский";"Детская библиотека Калининского района, филиал №14";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Калининского района", филиал №14";"Крылова Светлана Ильинична";"195273, г.Санкт-Петербург, проспект Науки, дом 44, литер А";"538-14-32, 298-14-32";"13.00-20.00, сб 11.00-18.00, вс - выходной, последний день месяца - санитарный";"7804030181";"1027802518358";"50";"";"";"Филиал";"";"";"г.Санкт-Петербург, Гражданский проспект, дом 83, корпус 1, литер А";"";"Централизованная библиотечная система Калининского района";"";"";"муниципальное образование Пискарёвка"
"Калининский";"Детская библиотекаа Калининского района, филиал №11";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Калининского района", филиал №11";"Крылова Светлана Ильинична";"г.Санкт-Петербург, Светлановский проспект, дом 62, корпус 1, литер А";"557-63-84, 558-05-96";"";"7804030181";"1027802518358";"50";"";"";"Филиал";"";"";"г.Санкт-Петербург, Гражданский проспект, дом 83, корпус 1, литер А";"";"Централизованная библиотечная система Калининского района";"";"";"муниципальное образование Прометей"
"Калининский";"Библиотека Калининского района, филиал №4";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Калининского района", филиал №4";"Крылова Светлана Ильинична";"г.Санкт-Петербург, Светлановский проспект, дом 62, корпус 1, литер А";"559-83-54";"13.00-20.00, сб 11.00-18.00, вс - выходной";"7804030181";"1027802518358";"";"";"";"Филиал";"";"";"г.Санкт-Петербург, Гражданский проспект, дом 83, корпус 1, литер А";"";"Централизованная библиотечная система Калининского района";"";"";"муниципальное образование Прометей"
"Калининский";"Центральная районная библиотека им. В.Г.Белинского.";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Калининского района". Библиотека центральная им. В.Г.Белинского.";"Левина Елена Викторовна";"г.Санкт-Петербург, Гражданский проспект, дом 83, корпус 1, литер А";"533-37-87";"13.00-20.00, вс 11.00-18.00, сб - выходной";"7804030181";"1027802518358";"100";"";"";"Основное, есть филиал";"";"";"г.Санкт-Петербург, Гражданский проспект, дом 83, корпус 1, литер А";"";"Централизованная библиотечная система Калининского района";"";"";"муниципальное образование округ Академический"
"Калининский";"Детская библиотека Калининского района, филиал №12";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Калининского района", филиал №12";"Никитина Вера Дмитриевна";"195274, г.Санкт-Петербург, проспект Культуры, дом 21, корпус 1, литер А";"558-96-20, 557-67-44";"13.00-20.00, сб 11.00-18.00, вс - выходной, последний день месяца - санитарный. Летом кроме сб, вс";"7804030181";"1027802518358";"50";"";"";"Филиал";"";"";"г.Санкт-Петербург, Гражданский проспект, дом 83, корпус 1, литер А";"";"Централизованная библиотечная система Калининского района";"";"";"муниципальное образование Северный"
"Калининский";"Библиотека им. В.В. Маяковского, филиал";"СПб ГУ "Центральная городская публичная библиотека имени В.В.Маяковского", филиал";"Чалова Зоя Васильевна";"г.Санкт-Петербург, Гражданский проспект, дом 121/100, литера А, помещение №1H,2Н,3H,";"571-08-56";"";"7825343925";"1037843003912";"";"office@pl.spb.ru";"";"Филиал";"";"571-22-47";"191025, г.Санкт-Петербург, набережная реки Фонтанки, дом 46, литера Б,";"ГИС СЦ";"Комитет по культуре";"";"";"муниципальный округ №21"
